team_id,latitude,longitude,arena,team
0,33.7573,-84.3963,State Farm Arena,Hawks
1,42.3662,-71.0621,TD Garden,Celtics
2,40.6828,-73.9758,Barclays Center,Nets
3,35.2251,-80.8392,Spectrum Center,Hornets
4,41.8807,-87.6742,United Center,Bulls
5,41.4965,-81.6882,Quicken Loans Arena,Cavaliers
6,32.7905,-96.8104,American Airlines Center,Mavericks
7,39.7487,-105.0077,Pepsi Center,Nuggets
8,42.341,-83.0552,Little Caesars Arena,Pistons
9,37.7503,-122.203,Chase Center,Warriors
10,29.7508,-95.3621,Toyota Center,Rockets
11,39.7639,-86.1555,Bankers Life Fieldhouse,Pacers
12,34.043,-118.2673,Crypto.com Arena,Clippers
13,34.043,-118.2673,Crypto.com Arena,Lakers
14,35.1382,-90.0505,Fedex Forum,Grizzlies
15,25.7814,-80.187,AmericanAirlines Arena,Heat
16,43.0436,-87.9172,Fiserv Forum,Bucks
17,44.9795,-93.2762,Target Center,Timberwolves
18,29.949,-90.0821,Smoothie King Center,Pelicans
19,40.7505,-73.9934,Madison Square Garden,Knicks
20,35.4634,-97.5151,Chesapeake Arena,Thunder
21,28.5399,-81.3837,Amway Center,Magic
22,39.9012,-75.172,Wells Fargo Center,76ers
23,33.4457,-112.0712,Talking Stick Resort Arena,Suns
24,45.5316,-122.6668,Moda Center,Trail Blazers
25,38.5806,-121.4996,Golden 1 Center,Kings
26,29.4271,-98.4375,AT&T Center,Spurs
27,43.6435,-79.3791,Air Canada Center,Raptors
28,40.7683,-111.9011,Vivint Smart Home Arena,Jazz
29,38.8981,-77.0209,Capital One Arena,Wizards